EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_75,c_3,c_3,c_3,m_1,0.6889,0.9051184727,model_1488
episode_76,c_4,c_7,c_11,m_1,0.7291,0.8230801157,model_1507
episode_77,c_2,c_11,c_7,c_10,0.7241,0.8107977199,model_341
episode_78,c_12,c_10,c_12,s,0.7455,0.7511633276,model_1005
episode_79,c_11,c_4,c_1,m_3,0.7164,0.8261370353,model_1898
episode_80,c_6,c_5,s,-,0.7235,0.8606172226,model_1538
episode_81,c_4,c_12,c_12,m_1,0.7454,0.7511210697,model_11
episode_82,c_9,c_9,m_1,c_1,0.7373,0.7801900728,model_1409
episode_83,c_4,c_9,c_2,c_8,0.6914,0.9277446179,model_1914
episode_84,c_12,m_2,c_1,c_1,0.7329,0.8027265525,model_1523
episode_85,c_3,c_2,c_9,c_9,0.7277,0.8106830916,model_252
episode_86,c_1,c_2,c_4,c_10,0.7203,0.8507132555,model_817
episode_87,c_3,c_4,c_4,c_9,0.6947,0.8988509561,model_119
episode_88,c_9,c_2,c_7,c_7,0.7361,0.7676165904,model_1329
episode_89,c_5,m_2,c_3,c_9,0.7582,0.7517212296,model_158
episode_90,c_11,c_12,m_1,c_7,0.7298,0.8177375569,model_327
episode_91,c_3,c_10,c_8,c_1,0.7233,0.835932311,model_184
episode_92,c_10,c_5,c_4,m_1,0.7299,0.7967267155,model_1882
episode_93,c_11,m_2,c_10,s,0.7033,0.8983225384,model_1007
episode_94,c_6,c_8,c_6,s,0.723,0.83205348,model_1514
episode_95,c_12,c_4,c_4,c_9,0.7194,0.8576954844,model_1238
episode_96,c_4,c_7,c_9,c_4,0.7097,0.8694775596,model_1635
episode_97,c_9,m_3,m_3,c_6,0.7278,0.7923222198,model_1100
episode_98,c_10,c_7,c_12,s,0.7293,0.8387213851,model_19
episode_99,c_4,c_4,c_10,c_2,0.7071,0.8561749895,model_1978
episode_100,c_1,m_3,s,-,0.6909,0.8929813507,model_965
episode_100,c_1,m_3,s,-,0.6825,0.9128889497,model_2001
episode_101,m_3,c_7,c_9,c_11,0.6365,1.0793765797,model_1975
episode_102,c_8,m_3,c_2,c_5,0.7455,0.7687329579,model_274
episode_103,c_10,c_9,c_3,c_12,0.7478,0.7542693448,model_1695
episode_104,c_10,c_3,s,-,0.7168,0.8323377957,model_1968
episode_105,c_11,m_1,c_4,c_1,0.7508,0.7493076492,model_846
episode_106,c_3,m_3,s,-,0.719,0.8164795274,model_329
episode_107,c_4,m_1,c_6,c_5,0.7154,0.8363990009,model_712
episode_108,c_3,m_1,c_5,c_6,0.7314,0.7829235833,model_231
episode_109,c_12,c_6,m_2,m_3,0.7548,0.7268474554,model_242
episode_110,c_10,c_5,m_2,c_7,0.7383,0.784127908,model_1860
episode_111,c_8,c_11,s,-,0.6823,0.9216693419,model_293
episode_112,c_1,c_10,c_5,c_7,0.7124,0.8525966891,model_749
episode_113,c_12,c_6,c_2,c_5,0.7193,0.8406360612,model_312
episode_114,c_7,s,-,-,0.6715,0.9897862665,model_167
episode_115,c_10,c_3,c_4,c_9,0.701,0.8698536365,model_375
episode_116,c_4,m_2,c_12,m_1,0.7434,0.7408069583,model_1649
episode_117,c_7,c_3,c_5,c_10,0.7123,0.8888318226,model_833
episode_118,c_12,c_10,c_12,s,0.7455,0.7511633276,model_1005
episode_119,c_9,c_6,m_3,s,0.727,0.792006483,model_1418
episode_120,c_7,c_8,c_9,m_2,0.7443,0.7764315757,model_522
episode_121,m_3,c_10,c_5,s,0.6909,0.9065854813,model_32
episode_121,m_3,c_10,c_5,s,0.6758,0.9614537455,model_209
