Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_889,c_2,c_2,c_2,s,0.9814,0.059809852
model_890,c_12,m_2,m_3,m_2,0.9454,0.20888203
model_891,c_7,c_3,c_2,m_3,0.981,0.05950938
model_892,c_11,c_3,s,-,0.9778,0.07363431
model_893,c_9,c_8,m_2,m_2,0.9731,0.087615274
model_894,c_12,c_3,c_4,c_1,0.9798,0.061871763
model_895,c_5,c_11,c_1,c_10,0.9792,0.06077172
model_896,c_7,c_9,c_9,c_7,0.9791,0.06197795
model_897,c_7,c_6,c_6,m_1,0.9787,0.06295236
model_898,c_3,c_2,c_5,c_3,0.9801,0.061540566
model_899,c_5,c_12,c_3,c_11,0.9788,0.059736293
model_900,c_2,c_6,m_3,c_6,0.9823,0.058337446
model_901,m_3,c_9,c_2,c_6,0.8702,0.40125385
model_902,c_6,c_11,c_9,c_2,0.981,0.05903276
model_903,c_2,m_1,c_12,c_3,0.9683,0.10612728
model_904,c_11,c_11,c_9,c_10,0.9814,0.058252532
model_905,c_4,c_5,m_2,m_2,0.974,0.0857121
model_906,c_2,c_7,m_2,c_12,0.9725,0.09166077
model_907,m_3,c_6,c_3,c_7,0.8702,0.39475486
model_908,c_7,m_3,s,-,0.9444,0.1980378
model_909,c_9,c_7,c_7,c_2,0.981,0.05873937
model_910,c_8,c_7,c_11,s,0.9806,0.05826084
model_911,c_5,c_8,c_5,c_6,0.9802,0.059801523
model_912,c_8,c_5,c_10,m_2,0.98,0.05852382
model_913,c_1,c_12,c_10,m_3,0.9799,0.061662287
model_914,c_9,c_4,c_5,c_9,0.9799,0.06386857
model_915,c_3,c_10,c_3,c_5,0.9797,0.061116762
model_916,c_11,m_1,c_10,m_2,0.9669,0.109249346
model_917,c_11,c_9,s,-,0.9774,0.07250296
model_918,c_5,c_6,m_2,c_10,0.9769,0.073880844
model_919,c_10,c_10,m_3,c_7,0.9764,0.08504963
model_920,c_9,c_3,m_2,c_2,0.9758,0.0752277
model_921,c_1,c_1,c_12,c_4,0.9818,0.055933088
model_922,c_2,m_3,m_3,c_3,0.7482,1.0633981
model_923,c_7,c_8,m_3,c_9,0.9784,0.06902982
model_924,c_12,m_2,c_9,c_5,0.9695,0.10465601
model_925,c_2,c_10,c_3,c_3,0.9809,0.05932076
model_926,c_9,m_3,c_5,c_1,0.9747,0.08661733
model_927,c_4,c_6,c_11,s,0.9798,0.06176884
model_928,c_5,c_12,c_7,m_2,0.9794,0.06195088
model_929,c_1,c_5,c_10,c_9,0.9801,0.060563233
model_930,c_3,c_2,c_9,c_1,0.9792,0.060764838
model_931,c_8,c_3,m_1,c_2,0.9731,0.08648642
model_932,c_10,c_6,s,-,0.9763,0.07573091
model_933,c_9,c_2,c_6,m_2,0.9794,0.065377906
model_934,c_3,c_6,c_7,c_3,0.98,0.06291883
model_935,c_7,c_4,c_5,c_8,0.9816,0.057367686
model_936,c_10,c_11,c_3,c_11,0.9788,0.06450893
model_937,c_7,c_10,c_2,m_2,0.9803,0.058500737
model_938,c_7,c_9,c_2,m_2,0.9794,0.06151179
model_939,c_3,c_11,c_8,c_11,0.981,0.06212717
model_940,m_1,m_1,c_2,c_1,0.8316,0.5309403
model_941,c_3,c_3,c_1,c_1,0.9814,0.05916936
model_942,c_1,m_3,c_8,m_2,0.9603,0.14077152
model_943,c_12,c_7,s,-,0.976,0.07312
model_944,c_10,c_7,c_11,c_10,0.9806,0.057485346
model_945,c_6,c_3,m_2,c_2,0.9761,0.07898368
model_946,c_8,m_2,m_1,c_5,0.9506,0.18463805
model_947,c_5,m_3,c_1,c_9,0.9683,0.106803484
model_948,c_7,c_5,c_3,c_2,0.9799,0.061926134
model_949,c_8,c_6,m_2,c_4,0.9783,0.07183302
model_950,c_7,m_2,c_1,c_9,0.9615,0.12597623
model_951,c_2,m_3,c_11,c_12,0.9688,0.09805016
model_952,c_1,c_10,c_10,c_1,0.9801,0.059456516
model_953,c_3,c_10,s,-,0.976,0.07532536
model_954,c_4,c_11,c_7,c_6,0.9813,0.05930202
model_955,c_6,c_9,c_3,c_7,0.9788,0.06665273
model_956,c_9,c_11,c_8,s,0.9788,0.0649693
model_957,c_7,c_7,c_9,c_11,0.9815,0.05698677
model_958,c_2,c_1,m_1,c_4,0.9728,0.089367695
model_959,c_1,c_3,c_1,s,0.9804,0.0628461
model_960,c_5,m_2,c_9,m_2,0.969,0.1064522
model_961,c_5,c_10,c_12,m_3,0.9789,0.062263034
model_962,c_6,m_2,c_1,s,0.9706,0.096609406
model_963,c_6,m_3,c_9,c_9,0.9741,0.085254505
model_964,c_11,c_3,c_12,c_10,0.9796,0.062298797
model_965,c_1,m_3,s,-,0.9409,0.21255435
model_966,c_7,c_11,m_3,c_12,0.98,0.068933055
model_967,c_10,m_1,c_10,s,0.9658,0.114346385
model_968,c_3,c_8,c_6,m_3,0.9792,0.06440126
model_969,c_4,c_3,m_1,m_2,0.974,0.084995
model_970,c_9,c_7,c_6,c_8,0.9806,0.059777472
model_971,c_8,c_4,c_9,c_10,0.9811,0.059800655
model_972,c_9,c_10,c_1,m_3,0.9817,0.0603444
model_973,c_9,c_7,c_4,c_11,0.979,0.06325759
model_974,c_8,c_10,c_10,m_3,0.9799,0.060157992
model_975,c_3,c_11,m_3,m_3,0.9804,0.064566605
model_976,c_7,c_11,c_3,c_9,0.9797,0.06132094
model_977,c_8,c_9,c_1,c_12,0.9789,0.0635474
model_978,c_8,c_6,c_3,c_5,0.9795,0.06309882
model_979,c_5,c_3,c_9,m_3,0.981,0.057982482
model_980,c_1,m_3,c_2,m_2,0.9587,0.13991039
model_981,c_11,c_6,c_11,c_6,0.9803,0.060684875
model_982,c_8,c_7,c_1,c_8,0.981,0.05965324
model_983,c_8,c_5,c_8,m_2,0.9796,0.061283473
model_984,c_1,c_2,c_12,c_12,0.9808,0.057720974
model_985,c_9,c_7,c_12,c_7,0.9787,0.06114044
model_986,c_7,c_7,c_6,c_12,0.9812,0.059778556
model_987,c_11,m_2,c_12,c_4,0.9695,0.10251789
model_988,c_1,m_1,c_10,c_5,0.9657,0.11560171
model_989,m_2,c_7,c_7,c_8,0.9518,0.15848702
model_990,c_11,c_7,c_1,c_2,0.9805,0.0612563
model_991,c_2,m_1,c_12,c_5,0.9706,0.1037333
model_992,c_11,c_8,c_9,c_8,0.98,0.06175728
model_993,c_7,c_7,c_3,c_10,0.9794,0.06616121
model_994,c_1,m_3,c_12,s,0.9427,0.2052067
model_995,c_12,c_5,c_8,c_4,0.9788,0.06616931
model_996,c_3,m_3,c_4,c_1,0.9742,0.089292735
model_997,c_10,c_11,s,-,0.9781,0.07259606
model_998,c_6,c_7,s,-,0.9755,0.07542665
model_999,c_8,c_6,m_2,c_9,0.9776,0.07087852
model_1000,c_1,c_9,c_1,m_3,0.9815,0.059193086
model_1001,c_10,m_3,m_2,c_10,0.8779,0.5080096
model_1002,c_5,c_6,s,-,0.9779,0.07086312
model_1003,c_4,c_12,m_3,c_6,0.9817,0.060505204
model_1004,c_6,c_8,c_2,c_9,0.98,0.06231407
model_1005,c_12,c_10,c_12,s,0.9808,0.058979403
model_1006,c_5,c_12,m_3,m_1,0.9825,0.055767216
model_1007,c_11,m_2,c_10,s,0.9665,0.11248596
model_1008,c_2,m_3,c_8,c_6,0.9675,0.10491713
model_1009,c_6,c_6,m_2,m_2,0.9748,0.080848455
model_1010,c_11,c_2,s,-,0.9771,0.07348767
model_1011,c_11,c_8,c_12,c_7,0.9798,0.059223916
model_1012,c_6,c_8,c_12,c_8,0.9811,0.06382395
model_1013,c_3,m_1,m_3,m_2,0.9619,0.14171235
model_1014,c_2,m_2,c_10,c_6,0.9661,0.10719956
model_1015,c_10,m_3,c_11,s,0.9573,0.145625
model_1016,c_6,c_10,c_11,c_10,0.98,0.05959221
