Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1786,c_1,c_11,c_3,c_6,0.9804,0.06184937
model_1787,c_7,c_12,c_7,c_3,0.9812,0.05906431
model_1788,c_5,c_11,m_2,c_9,0.9752,0.08157432
model_1789,c_1,c_10,c_8,c_3,0.982,0.057231233
model_1790,c_4,c_10,s,-,0.9774,0.07590654
model_1791,c_5,c_11,c_5,c_1,0.9818,0.06095364
model_1792,c_7,m_1,c_2,m_1,0.9662,0.11197111
model_1793,c_8,c_11,c_8,c_8,0.9784,0.067632616
model_1794,c_3,c_10,c_4,s,0.9802,0.06188282
model_1795,c_12,c_1,c_12,c_9,0.9786,0.063328125
model_1796,c_1,c_5,c_6,c_12,0.9808,0.058073062
model_1797,c_1,c_8,m_1,c_8,0.9733,0.088697344
model_1798,c_4,c_9,c_7,c_8,0.9798,0.060555227
model_1799,c_2,c_5,c_10,c_12,0.9815,0.057617623
model_1800,c_2,c_11,c_7,c_12,0.98,0.061485153
model_1801,c_1,c_10,c_6,c_9,0.9811,0.058009468
model_1802,m_3,c_12,c_1,c_5,0.8688,0.39301583
model_1803,c_6,m_1,c_11,s,0.9684,0.10685868
model_1804,c_12,c_9,c_3,m_1,0.9805,0.06272955
model_1805,c_1,c_8,c_11,c_2,0.9813,0.05999218
model_1806,c_6,c_3,c_10,c_4,0.9784,0.06329222
model_1807,c_1,c_12,c_11,c_12,0.9796,0.062150374
model_1808,c_5,c_9,s,-,0.9769,0.07257775
model_1809,c_2,c_2,m_3,c_11,0.9777,0.072630994
model_1810,c_12,c_7,c_1,m_3,0.9788,0.06444526
model_1811,c_5,m_3,c_8,c_9,0.971,0.09816866
model_1812,c_4,c_1,c_7,c_2,0.9801,0.059052497
model_1813,c_7,c_12,c_10,c_11,0.9799,0.06222257
model_1814,c_5,c_7,c_12,m_2,0.9802,0.06183349
model_1815,c_5,c_10,c_3,c_9,0.9799,0.060616735
model_1816,c_1,c_6,c_12,c_2,0.9794,0.059762985
model_1817,c_12,c_10,c_7,c_6,0.9809,0.0620965
model_1818,c_4,c_5,c_7,c_7,0.9824,0.055685498
model_1819,c_8,c_6,m_2,c_3,0.9785,0.070857845
model_1820,c_7,c_2,c_7,m_1,0.9823,0.057476208
model_1821,c_7,c_3,c_12,c_12,0.9808,0.059658773
model_1822,c_6,c_4,c_8,c_1,0.979,0.060747508
model_1823,c_3,c_1,m_1,s,0.9713,0.094499215
model_1824,c_11,c_3,c_7,m_1,0.9798,0.063372895
model_1825,c_10,c_11,c_4,m_1,0.9795,0.061202362
model_1826,c_6,c_6,c_8,c_8,0.9782,0.06473206
model_1827,c_5,c_6,m_3,s,0.9822,0.059985485
model_1828,c_2,m_3,c_10,c_9,0.9698,0.098634884
model_1829,c_3,m_3,c_4,c_7,0.9719,0.09797346
model_1830,c_1,c_8,c_3,c_5,0.9794,0.0654964
model_1831,c_6,c_10,c_12,c_1,0.98,0.062284905
model_1832,c_5,c_5,c_2,c_9,0.9798,0.06114738
model_1833,c_9,c_3,c_9,m_2,0.9788,0.06473984
model_1834,c_10,m_1,c_7,m_2,0.9656,0.114914015
model_1835,c_8,m_1,c_5,c_1,0.9683,0.1080049
model_1836,c_6,c_1,c_8,c_4,0.9805,0.058456857
model_1837,c_2,m_1,c_1,c_11,0.9683,0.10752766
model_1838,c_9,m_3,c_4,c_9,0.972,0.09583482
model_1839,c_10,m_1,c_6,c_3,0.9648,0.115335934
model_1840,c_5,c_3,m_2,m_1,0.9772,0.07095789
model_1841,c_1,c_4,c_4,c_11,0.9807,0.05906332
model_1842,c_11,c_9,c_10,c_6,0.9798,0.063040234
model_1843,c_5,c_1,c_12,c_8,0.9807,0.06141721
model_1844,c_8,m_1,c_10,c_1,0.9687,0.10738887
model_1845,c_1,m_3,c_8,c_4,0.9487,0.17042422
model_1846,c_6,c_2,c_9,c_10,0.9783,0.06256673
model_1847,c_12,c_7,c_2,c_1,0.9803,0.06240726
model_1848,c_2,c_12,c_7,s,0.9806,0.05882203
model_1849,c_9,c_3,c_10,m_2,0.9794,0.064241014
model_1850,c_12,c_8,m_1,m_3,0.9721,0.09075223
model_1851,c_4,m_2,c_2,c_2,0.9639,0.12037715
model_1852,c_6,c_8,c_4,c_12,0.9779,0.066782966
model_1853,c_6,c_1,c_9,c_10,0.9795,0.06260658
model_1854,c_5,m_3,c_10,c_6,0.9706,0.09847106
model_1855,c_6,m_1,c_5,c_12,0.9675,0.10871377
model_1856,c_12,m_1,c_5,c_11,0.9671,0.10871811
model_1857,c_3,m_2,c_2,c_9,0.9692,0.106526315
model_1858,m_2,m_1,c_1,m_1,0.7913,0.66195375
model_1859,c_2,m_2,c_1,c_6,0.9685,0.112486824
model_1860,c_10,c_5,m_2,c_7,0.9746,0.08700819
model_1861,c_11,c_9,c_2,c_6,0.9812,0.06146242
model_1862,c_11,c_5,c_7,c_11,0.9808,0.061434437
model_1863,m_2,c_8,m_3,s,0.9198,0.2930296
model_1864,c_2,m_1,c_5,m_1,0.9687,0.10409984
model_1865,c_1,c_9,s,-,0.9774,0.07240797
model_1866,c_2,c_7,c_12,c_10,0.9811,0.05981307
model_1867,c_12,c_8,c_1,c_8,0.9802,0.06202762
model_1868,c_7,c_2,c_10,c_12,0.9805,0.060677506
model_1869,m_3,c_10,c_8,c_4,0.871,0.3839299
model_1870,c_2,c_7,s,-,0.9774,0.07326427
model_1871,c_8,c_8,c_8,c_12,0.9766,0.068761975
model_1872,c_8,c_11,c_12,c_8,0.9806,0.057344843
model_1873,c_12,m_3,c_8,c_10,0.9744,0.085900694
model_1874,c_2,m_3,c_6,m_1,0.97,0.10251121
model_1875,m_2,c_1,c_1,c_2,0.951,0.16380313
model_1876,c_4,c_7,m_2,c_12,0.972,0.09651869
model_1877,c_4,c_2,m_1,c_12,0.9725,0.09290769
