Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_5,c_6,c_9,c_3,0.9795,0.0644484
model_2,c_4,c_7,c_3,c_6,0.9809,0.060591064
model_3,m_2,c_5,c_1,c_2,0.9529,0.1598146
model_4,c_5,c_7,c_2,c_1,0.9809,0.059971705
model_5,c_5,c_3,c_6,c_9,0.9808,0.059718363
model_6,c_3,m_1,m_3,m_3,0.9612,0.14427738
model_7,c_5,c_8,c_10,c_6,0.9814,0.059535082
model_8,c_6,m_3,s,-,0.9668,0.118063696
model_9,c_5,c_4,c_1,c_2,0.9797,0.05951709
model_10,c_1,c_6,m_3,c_11,0.9809,0.0630554
model_11,c_4,c_12,c_12,m_1,0.9789,0.06231559
model_12,c_1,c_10,c_5,c_8,0.9821,0.05923393
model_13,c_1,c_7,s,-,0.9768,0.07412139
model_14,c_7,c_7,c_11,c_7,0.9807,0.058204252
model_15,c_3,c_1,m_2,m_1,0.9726,0.091215245
model_16,c_7,c_8,m_2,m_2,0.9742,0.082429126
model_17,c_6,c_2,c_4,c_12,0.9797,0.062605895
model_18,c_3,c_2,c_10,c_12,0.9785,0.069246255
model_19,c_10,c_7,c_12,s,0.98,0.061069686
model_20,c_12,c_10,c_6,m_3,0.98,0.060431566
model_21,c_11,c_10,s,-,0.9768,0.07346976
model_22,c_7,c_1,c_2,m_2,0.9812,0.05839805
model_23,c_7,c_9,c_5,c_12,0.9808,0.059703916
model_24,c_2,m_2,c_6,c_11,0.9683,0.10636618
model_25,c_2,c_2,c_2,m_1,0.9773,0.070634186
model_26,c_8,c_10,c_4,c_11,0.9811,0.059395935
model_27,c_2,c_9,c_6,c_1,0.9799,0.063717954
model_28,c_1,c_11,c_6,c_8,0.9808,0.059664678
model_29,c_3,c_7,c_6,c_10,0.9805,0.061255164
model_30,c_11,m_3,m_2,c_5,0.9244,0.29429168
model_31,c_6,c_3,c_6,c_1,0.9819,0.057592463
model_32,m_3,c_10,c_5,s,0.8736,0.38806865
model_33,c_4,c_7,c_10,c_3,0.9805,0.060050048
model_34,c_7,c_4,c_9,c_1,0.9817,0.057408355
model_35,c_11,m_2,c_1,c_6,0.9662,0.11297631
model_36,c_3,c_8,c_7,c_9,0.98,0.061497096
model_37,c_2,c_8,c_8,m_3,0.9801,0.061422728
model_38,c_2,c_1,s,-,0.9782,0.07203898
model_39,c_6,c_11,c_4,s,0.9781,0.06294281
model_40,c_9,c_11,c_11,c_8,0.9798,0.06472149
model_41,c_12,s,-,-,0.9625,0.13331962
model_42,c_12,c_6,c_6,c_2,0.9785,0.06958036
model_43,c_4,c_5,m_3,s,0.9784,0.06872204
model_44,c_5,c_10,c_3,c_12,0.9808,0.06327438
model_45,c_5,c_6,c_1,c_6,0.9825,0.0584869
model_46,c_8,c_4,s,-,0.9756,0.07430906
model_47,c_9,c_11,m_1,c_3,0.9718,0.08785047
model_48,c_1,c_2,c_9,c_4,0.9808,0.062476616
model_49,c_5,c_1,m_2,c_8,0.9713,0.09486052
model_50,c_8,m_2,c_7,m_2,0.968,0.11066814
model_51,c_7,c_2,c_10,c_6,0.981,0.05741451
model_52,c_4,c_11,m_1,c_11,0.9722,0.09236679
model_53,c_6,s,-,-,0.9632,0.12855202
model_54,c_3,c_4,c_8,m_2,0.9809,0.06270302
model_55,c_1,c_9,c_3,m_3,0.9806,0.059488878
model_56,c_10,m_3,c_2,m_2,0.9573,0.14564282
model_57,c_1,c_9,c_9,c_4,0.9808,0.060242485
model_58,c_5,c_9,s,-,0.9775,0.07472326
model_59,c_5,c_9,m_3,c_7,0.9811,0.059975117
model_60,c_10,c_10,c_7,c_11,0.98,0.05867622
model_61,c_5,c_3,c_3,c_11,0.9805,0.062058702
model_62,c_1,c_5,c_7,c_12,0.9806,0.058223862
model_63,c_10,m_3,c_12,m_1,0.9627,0.12602697
model_64,c_10,c_6,c_1,c_3,0.9795,0.06619243
