Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_501,c_11,c_6,c_9,c_12,0.9798,0.065864675
model_502,c_11,c_2,c_6,c_12,0.9807,0.06036689
model_503,c_12,c_2,c_9,c_12,0.9796,0.06467728
model_504,c_9,m_3,c_10,c_10,0.9749,0.0872123
model_505,c_12,m_3,c_9,c_1,0.9744,0.081267454
model_506,c_2,c_11,m_1,m_1,0.9732,0.08635829
model_507,c_9,c_3,c_1,c_11,0.9803,0.06152666
model_508,c_12,c_7,c_3,c_4,0.9783,0.06536453
model_509,c_11,m_2,c_3,c_4,0.9687,0.1066057
model_510,c_5,c_8,c_4,m_1,0.9806,0.06074384
model_511,c_7,c_1,c_5,c_2,0.9813,0.058283623
model_512,c_8,m_2,m_2,c_6,0.96,0.1475668
model_513,c_12,c_1,c_7,c_12,0.9806,0.061307292
model_514,c_3,c_11,c_12,s,0.9803,0.062084597
model_515,c_3,c_12,m_3,c_8,0.9834,0.057668805
model_516,c_9,c_11,c_1,c_8,0.9799,0.06279997
model_517,c_12,c_12,c_11,m_2,0.9792,0.062553056
model_518,c_5,c_12,c_9,c_1,0.9814,0.0597083
model_519,c_1,c_5,c_12,c_6,0.9813,0.057423465
model_520,c_12,c_2,m_1,c_6,0.9732,0.089983866
model_521,c_7,c_11,c_5,c_5,0.9804,0.059378695
model_522,c_7,c_8,c_9,m_2,0.9807,0.057070896
model_523,c_7,c_11,c_3,c_6,0.9761,0.069953024
model_524,c_3,c_8,c_2,m_3,0.9788,0.06500121
model_525,c_2,c_10,m_1,s,0.9718,0.09087748
model_526,c_10,m_1,c_8,m_3,0.9668,0.113322355
model_527,c_6,c_8,c_5,c_9,0.9802,0.06289491
model_528,c_7,c_9,c_1,m_3,0.9806,0.061649587
model_529,c_6,c_4,c_10,m_1,0.979,0.06734767
model_530,c_5,c_4,s,-,0.9753,0.07347515
model_531,c_1,c_5,c_10,m_3,0.9815,0.060107827
model_532,c_6,c_4,c_4,m_3,0.9819,0.05972032
model_533,c_6,c_9,c_4,c_10,0.9793,0.06296176
model_534,c_11,m_2,c_4,c_4,0.9684,0.106760144
model_535,c_1,c_2,s,-,0.9758,0.07533803
model_536,c_5,c_9,c_3,c_11,0.9785,0.06704426
model_537,c_1,c_3,c_2,c_6,0.9794,0.061006427
model_538,c_8,c_9,c_4,c_5,0.979,0.064162634
model_539,c_6,m_3,c_7,m_1,0.9731,0.09079873
model_540,c_11,m_1,c_1,c_6,0.9657,0.11186331
model_541,c_10,c_1,c_12,c_3,0.9803,0.06202259
model_542,c_11,m_2,c_1,c_10,0.9652,0.11427533
model_543,c_6,m_3,c_4,c_6,0.9746,0.08558216
model_544,c_9,c_2,c_6,m_3,0.9796,0.06415089
model_545,m_3,c_4,c_4,-,0.8449,0.49457178
model_546,c_8,c_2,c_3,c_6,0.979,0.06345231
model_547,c_10,m_1,c_5,c_9,0.966,0.111449376
model_548,c_9,c_10,m_1,c_10,0.9725,0.09092146
model_549,c_12,c_6,c_6,c_6,0.9807,0.06161135
model_550,c_3,c_7,c_10,m_2,0.9806,0.06133979
model_551,c_2,c_8,c_11,c_3,0.9802,0.06046516
model_552,c_4,c_5,c_6,c_2,0.979,0.062239043
model_553,c_7,c_3,c_3,s,0.9799,0.063616894
model_554,c_8,c_2,c_7,c_7,0.9801,0.062735766
model_555,c_4,c_6,c_10,c_8,0.9817,0.059085593
model_556,c_6,c_11,m_2,c_7,0.9749,0.08305917
model_557,m_3,m_3,c_6,m_1,0.1135,2.301058
model_558,c_8,c_8,c_6,c_4,0.9816,0.057725217
model_559,c_8,c_6,c_11,c_3,0.9793,0.06169245
model_560,c_9,c_5,c_6,m_2,0.9808,0.062296312
model_561,c_4,c_9,c_1,c_4,0.9803,0.06304368
model_562,c_3,c_10,c_9,c_12,0.9804,0.059277378
model_563,m_2,m_3,c_10,c_4,0.282,1.9378843
model_564,m_3,c_10,c_11,c_11,0.8738,0.3811411
model_565,c_7,c_9,c_6,c_2,0.981,0.05965563
model_566,c_4,c_5,c_12,m_3,0.9807,0.060034886
model_567,c_9,m_1,c_7,c_10,0.9666,0.10673638
model_568,c_1,c_4,c_9,c_7,0.9812,0.057858128
model_569,c_11,c_1,m_3,m_1,0.9713,0.09968543
model_570,c_2,c_1,c_6,c_3,0.9806,0.06052495
model_571,c_10,c_12,c_2,m_2,0.9794,0.062177714
model_572,c_6,c_12,c_1,c_8,0.9787,0.06441262
model_573,c_2,m_1,c_4,c_3,0.9678,0.11046659
model_574,c_11,c_6,c_7,m_3,0.9801,0.06114511
model_575,c_10,c_5,c_5,c_6,0.9793,0.064156175
model_576,c_4,c_1,c_4,m_1,0.9808,0.056871492
model_577,c_10,c_1,c_1,-,0.9761,0.07604186
model_578,c_7,c_1,s,-,0.9764,0.074166715
model_579,c_5,c_8,c_12,m_3,0.98,0.057695154
model_580,c_7,c_4,c_1,c_12,0.9798,0.06136585
model_581,c_4,c_8,c_11,c_5,0.9786,0.065143
model_582,c_6,m_3,c_5,m_3,0.9749,0.0864474
model_583,c_10,c_12,c_3,s,0.9806,0.06596066
model_584,c_11,c_2,c_7,m_3,0.9779,0.06365406
model_585,c_4,c_3,m_3,c_12,0.9823,0.05980154
model_586,c_10,c_6,c_10,c_6,0.9808,0.05990684
model_587,c_3,c_3,c_9,c_9,0.9792,0.06345027
model_588,m_2,c_11,c_5,c_8,0.9509,0.15863313
model_589,c_5,c_12,m_3,c_4,0.9815,0.0599214
model_590,c_10,c_12,c_1,c_7,0.9801,0.062038723
model_591,c_12,c_1,c_10,s,0.9808,0.061076533
model_592,m_1,c_3,c_8,s,0.9564,0.1466198
model_593,c_1,c_6,c_1,m_3,0.9803,0.058768164
model_594,c_10,c_10,c_7,s,0.9803,0.05831349
model_595,c_2,c_4,c_3,c_6,0.9801,0.059031848
model_596,c_5,c_10,c_6,s,0.9798,0.06131208
model_597,c_9,c_11,m_3,c_9,0.981,0.065111354
model_598,c_12,c_6,c_3,s,0.9802,0.06314292
model_599,c_12,c_10,c_4,c_1,0.9809,0.062230665
model_600,c_9,c_12,c_7,m_2,0.9777,0.064715065
model_601,c_8,c_3,c_6,c_4,0.9804,0.059465338
model_602,c_2,c_5,m_3,c_8,0.979,0.070527315
model_603,c_3,c_4,c_2,m_2,0.9795,0.060917575
model_604,c_6,c_7,c_9,c_8,0.9794,0.06207581
model_605,c_7,m_1,c_4,c_1,0.9665,0.11313564
model_606,c_1,c_1,m_2,c_8,0.9701,0.09634421
model_607,c_4,c_1,c_12,c_9,0.9819,0.055837736
model_608,m_2,c_6,s,-,0.9341,0.23292884
model_609,c_11,c_8,c_10,m_1,0.9812,0.059486758
model_610,c_1,c_5,c_6,c_6,0.9766,0.069497555
model_611,c_8,m_2,c_7,c_4,0.9682,0.11260372
model_612,c_9,m_2,m_2,c_2,0.9704,0.11288591
model_613,c_9,c_4,c_9,c_12,0.9806,0.05963483
model_614,m_3,c_10,c_7,c_7,0.871,0.39012048
model_615,c_5,m_2,c_8,c_3,0.9696,0.1037102
model_616,c_10,c_12,c_9,c_4,0.9808,0.060541026
model_617,c_12,c_5,c_9,s,0.9782,0.067002796
model_618,c_8,c_2,c_6,c_6,0.9805,0.06037348
model_619,m_3,c_8,c_11,c_4,0.8693,0.3907461
model_620,c_4,m_1,m_3,c_4,0.9331,0.27489653
model_621,c_2,c_1,c_12,m_1,0.9818,0.057644486
model_622,c_2,c_5,c_6,c_9,0.9797,0.06410635
model_623,c_6,c_7,c_3,c_10,0.9797,0.061965555
model_624,c_7,c_4,c_1,c_7,0.9798,0.060126185
model_625,c_10,c_5,c_5,c_4,0.9792,0.062874645
model_626,c_6,c_1,c_9,c_8,0.9809,0.058620606
model_627,c_8,c_9,c_1,c_9,0.9794,0.061336827
model_628,c_3,m_1,c_11,c_4,0.9689,0.10314696
model_629,c_5,m_1,c_1,c_12,0.9676,0.10902564
model_630,c_1,c_3,m_2,c_11,0.9791,0.06818835
model_631,c_8,m_2,c_5,m_2,0.9672,0.10957574
model_632,c_4,c_9,m_1,m_2,0.9734,0.08712357
model_633,c_3,c_4,m_3,m_1,0.9776,0.0764788
model_634,c_11,c_1,c_11,s,0.9827,0.057966232
model_635,c_2,c_9,c_5,c_11,0.9817,0.05823317
model_636,c_2,c_3,c_3,c_7,0.9784,0.06463155
model_637,m_2,m_2,c_9,s,0.7089,0.8761867
model_638,c_11,c_5,m_3,c_11,0.9788,0.06910047
model_639,c_10,c_5,m_2,c_3,0.9725,0.08849645
model_640,c_3,c_2,m_3,c_6,0.9807,0.06416799
model_641,c_4,c_9,c_1,c_9,0.9801,0.063596554
model_642,c_1,c_8,c_4,c_8,0.98,0.06099848
model_643,c_3,c_5,c_12,c_8,0.9807,0.06176704
model_644,c_5,c_11,c_10,c_6,0.9808,0.060422856
model_645,c_12,c_2,c_3,m_3,0.9796,0.062112886
model_646,c_4,c_5,c_4,c_7,0.9809,0.06169694
model_647,c_10,m_2,m_2,m_1,0.945,0.20907086
model_648,c_8,c_6,m_2,c_7,0.9795,0.07055372
model_649,c_5,c_8,s,-,0.9775,0.07043471
model_650,c_11,c_5,c_7,c_7,0.9797,0.05966774
model_651,c_4,m_1,m_2,c_6,0.9424,0.21871683
model_652,c_2,m_1,c_11,c_8,0.9672,0.10971081
model_653,c_12,c_9,c_10,c_3,0.9793,0.06395657
model_654,c_4,c_4,m_3,m_1,0.9763,0.08149118
model_655,c_10,c_4,c_2,c_2,0.9807,0.06239075
model_656,c_4,c_11,s,-,0.9772,0.07201788
model_657,c_3,c_10,c_1,c_9,0.9792,0.0649299
model_658,c_2,c_6,m_3,c_1,0.9817,0.061493512
model_659,c_8,m_3,c_7,c_7,0.9657,0.1200718
model_660,c_11,c_5,c_3,c_12,0.9808,0.060884077
model_661,c_12,c_8,s,-,0.9768,0.074732706
model_662,c_12,c_2,c_1,c_7,0.9793,0.06095962
model_663,c_1,c_9,c_6,c_8,0.9803,0.057415523
model_664,c_6,m_1,c_11,c_6,0.9685,0.10694797
model_665,c_10,m_1,c_10,c_6,0.9669,0.10986902
model_666,c_8,c_4,c_8,c_12,0.9793,0.06264659
model_667,c_5,c_2,m_1,c_11,0.9717,0.08855948
model_668,m_1,c_7,c_11,c_9,0.9591,0.14379372
model_669,c_12,c_10,m_2,c_8,0.9724,0.089712836
model_670,c_1,c_12,m_1,c_1,0.9749,0.084472984
model_671,c_8,c_8,c_1,c_11,0.9815,0.058745902
model_672,c_4,c_1,c_8,c_1,0.9787,0.06063007
model_673,c_9,c_2,c_5,m_3,0.9791,0.06342655
model_674,c_12,m_3,c_11,c_10,0.9748,0.08263997
model_675,c_4,c_4,c_4,c_2,0.9811,0.058938075
model_676,c_9,c_2,c_1,c_3,0.9795,0.06238517
model_677,c_11,m_3,m_2,c_4,0.9346,0.26349163
model_678,c_9,c_8,c_6,m_2,0.9794,0.06193304
model_679,c_7,c_5,m_2,c_6,0.9739,0.084805086
model_680,c_6,c_9,c_7,c_9,0.9797,0.06391103
model_681,c_9,c_12,c_8,c_2,0.9807,0.059788305
model_682,c_11,c_4,c_10,c_7,0.9802,0.06007427
model_683,c_8,c_8,c_3,c_9,0.9804,0.05945158
model_684,c_4,c_1,c_9,c_8,0.9822,0.057350915
model_685,c_12,c_5,c_1,s,0.9821,0.06422229
model_686,c_9,m_3,s,-,0.9668,0.11862636
model_687,c_6,c_4,c_4,c_9,0.9807,0.060348313
model_688,c_3,c_3,c_6,m_1,0.9788,0.06443244
model_689,c_2,m_2,c_1,s,0.9669,0.10810112
model_690,c_11,m_1,c_6,m_2,0.9689,0.10481856
model_691,m_3,s,-,-,0.7908,0.7308557
model_692,c_11,c_12,c_4,c_3,0.9796,0.060216844
model_693,c_5,c_1,c_11,c_6,0.9821,0.05689962
model_694,c_12,c_5,c_7,c_7,0.9775,0.06953864
model_695,c_3,c_8,c_11,c_9,0.9796,0.06389948
model_696,c_7,c_4,c_6,m_2,0.9814,0.059688833
model_697,c_3,c_6,c_1,m_1,0.9765,0.06835771
model_698,m_1,m_2,c_4,c_5,0.7667,0.7565649
model_699,c_10,c_2,c_2,c_7,0.9819,0.05516854
model_700,c_8,c_2,m_3,c_12,0.9788,0.0704436
model_701,c_3,c_4,c_6,s,0.9811,0.063139424
model_702,c_8,m_1,c_6,m_3,0.9675,0.109031886
model_703,c_7,c_1,c_6,c_12,0.9799,0.06102193
model_704,c_2,c_4,c_3,c_11,0.9814,0.059622183
model_705,c_1,m_2,c_7,s,0.9638,0.11727742
model_706,c_10,c_4,c_3,m_3,0.9808,0.059407447
model_707,c_6,m_2,c_8,c_12,0.9671,0.108704805
model_708,c_2,m_2,c_6,c_9,0.9663,0.10999331
model_709,c_11,c_10,m_3,s,0.9764,0.081299715
model_710,c_6,c_7,c_6,c_3,0.9794,0.061794963
model_711,c_6,c_2,c_11,c_10,0.9803,0.06206938
model_712,c_4,m_1,c_6,c_5,0.968,0.11035115
model_713,c_10,c_2,m_3,c_8,0.9792,0.07224163
model_714,c_3,c_12,m_3,c_1,0.9821,0.05906286
model_715,c_6,c_11,c_10,c_1,0.9799,0.06099447
model_716,m_3,c_4,c_9,-,0.8461,0.48838153
model_717,c_8,c_1,c_4,c_1,0.9812,0.05848219
model_718,c_3,c_1,c_6,m_3,0.9785,0.06786024
model_719,c_9,c_5,c_7,c_3,0.9792,0.0651031
model_720,c_2,c_9,c_4,c_9,0.9791,0.06647761
model_721,c_1,c_11,m_2,c_8,0.9768,0.0755559
model_722,c_12,m_1,m_3,c_12,0.9644,0.14296243
model_723,c_11,c_3,m_2,m_1,0.9762,0.077124
model_724,c_9,c_7,c_1,c_11,0.9807,0.05995989
model_725,c_10,m_2,c_2,c_6,0.9625,0.123813085
model_726,c_2,m_3,c_9,c_8,0.9668,0.10929117
model_727,c_4,c_8,c_11,c_9,0.9808,0.059599098
model_728,m_1,m_1,c_9,m_2,0.8289,0.5391051
model_729,m_1,c_4,c_1,m_3,0.957,0.1408361
model_730,c_5,c_4,c_2,c_6,0.9806,0.06032811
model_731,c_2,c_2,s,-,0.9773,0.07639963
model_732,c_7,c_5,c_12,c_8,0.9791,0.05942589
model_733,c_1,m_3,c_4,c_2,0.9557,0.14866444
model_734,m_2,c_2,c_3,s,0.9513,0.15756728
model_735,c_2,c_1,c_4,s,0.9814,0.058668047
model_736,c_3,c_10,c_3,m_3,0.9798,0.062236667
model_737,c_1,m_1,s,-,0.9452,0.18321072
model_738,c_12,c_4,m_1,c_3,0.9701,0.09440717
model_739,c_9,c_2,c_5,c_1,0.9796,0.061748702
model_740,c_11,c_11,c_4,c_1,0.9804,0.061562818
model_741,c_4,c_9,c_4,c_2,0.9791,0.06070431
model_742,m_2,c_11,c_5,m_3,0.9519,0.15659708
model_743,c_3,c_11,c_4,m_3,0.9789,0.06515231
model_744,c_12,c_12,s,-,0.9758,0.07746666
model_745,c_8,m_1,m_1,m_3,0.9408,0.21125498
model_746,c_7,c_4,m_3,m_1,0.9733,0.09353167
model_747,m_1,s,-,-,0.8985,0.39769065
model_748,c_10,c_6,c_9,c_10,0.9795,0.06113689
model_749,c_1,c_10,c_5,c_7,0.9804,0.061587255
model_750,c_9,c_9,c_11,c_3,0.979,0.06245506
model_751,c_3,c_11,c_10,m_2,0.9808,0.062457953
model_752,c_10,m_1,c_7,c_12,0.9663,0.114755675
model_753,c_1,c_6,m_2,c_7,0.9788,0.06874397
model_754,c_6,c_6,c_9,c_3,0.9797,0.06063987
model_755,c_11,c_12,c_2,c_11,0.9803,0.06147183
model_756,c_1,c_5,c_6,m_1,0.9798,0.059501067
model_757,c_4,c_8,m_2,c_1,0.9749,0.07837265
model_758,c_8,c_5,c_9,m_3,0.9808,0.059427653
model_759,c_12,m_1,m_1,c_11,0.9517,0.17244077
model_760,c_4,c_8,c_8,s,0.9791,0.06165601
model_761,c_3,c_6,c_8,c_4,0.9796,0.06343081
model_762,c_5,c_3,c_12,s,0.98,0.06164016
model_763,c_7,m_1,c_4,m_3,0.967,0.10986626
model_764,c_11,m_1,c_10,c_9,0.9676,0.10755998
model_765,c_1,c_5,m_1,c_5,0.9714,0.09077379
model_766,c_6,c_2,m_2,c_5,0.9716,0.08914189
model_767,c_3,c_11,c_3,c_2,0.9799,0.060707975
model_768,c_9,m_1,c_3,s,0.9688,0.1059669
model_769,c_8,m_3,c_11,m_3,0.9712,0.09814114
model_770,c_10,s,-,-,0.9577,0.14597565
model_771,c_7,c_6,c_11,m_2,0.9803,0.063397944
model_772,c_3,c_4,c_4,c_3,0.9798,0.06309718
model_773,c_7,c_9,c_2,c_2,0.9801,0.061385114
model_774,c_8,c_9,m_3,c_10,0.9811,0.059912283
model_775,c_4,m_2,c_7,s,0.9632,0.11960823
model_776,c_1,c_5,c_8,c_2,0.9814,0.05942222
model_777,c_4,c_8,c_6,c_9,0.9793,0.061797094
model_778,c_2,c_6,m_2,c_10,0.9791,0.06803657
model_779,c_7,c_4,c_2,c_2,0.9795,0.060958695
model_780,c_3,c_7,m_3,c_8,0.9755,0.086121015
model_781,c_11,c_8,c_12,c_10,0.98,0.06193485
model_782,c_4,c_7,m_3,c_11,0.9735,0.08685409
model_783,c_6,c_1,c_12,c_3,0.9791,0.06551302
model_784,c_3,c_4,m_3,c_10,0.9776,0.07797308
model_785,c_12,c_6,c_6,m_2,0.9766,0.07053097
model_786,c_7,c_10,m_2,s,0.971,0.09555639
model_787,c_4,m_2,m_3,m_1,0.8736,0.5207336
model_788,c_10,c_9,c_8,c_3,0.9793,0.06484051
model_789,c_5,m_3,c_2,m_1,0.9718,0.0940172
model_790,c_2,c_2,m_2,s,0.9738,0.087790824
model_791,c_6,c_3,c_2,c_1,0.9787,0.064169265
model_792,c_8,c_7,c_5,c_12,0.9798,0.062045038
model_793,c_5,c_9,c_8,c_6,0.9799,0.061374556
model_794,c_7,m_1,c_12,c_12,0.9678,0.10853486
model_795,c_8,c_6,m_1,m_3,0.9725,0.08800823
model_796,c_4,c_2,c_10,c_6,0.9811,0.057485797
model_797,c_6,c_9,c_6,c_6,0.9804,0.06248582
model_798,c_11,c_12,m_3,c_12,0.9825,0.05844953
model_799,c_12,c_6,c_11,c_5,0.9806,0.05775613
model_800,c_10,c_10,c_3,c_1,0.9808,0.061671756
