EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_81,c_2,m_1,c_8,c_9,0.7736,0.7046771322,model_1406
episode_82,c_8,c_8,c_1,c_11,0.7407,0.8046840809,model_671
episode_83,c_1,c_8,c_3,c_5,0.7255,0.8044401811,model_1830
episode_84,c_7,c_7,c_11,m_2,0.713,0.8769320754,model_2053
episode_85,c_10,m_3,c_9,m_3,0.7639,0.6880619052,model_1083
episode_86,c_12,c_4,m_1,c_2,0.7394,0.7735637818,model_144
episode_87,c_10,m_2,c_11,c_11,0.76,0.7138206359,model_1033
episode_88,c_12,m_1,s,-,0.703,0.8900160341,model_1235
episode_88,c_12,m_1,s,-,0.7304,0.8135914484,model_1905
episode_89,c_6,c_3,c_1,c_4,0.7259,0.8498185801,model_838
episode_90,c_12,c_6,c_4,c_12,0.7272,0.8585141121,model_1907
episode_91,c_11,c_5,c_5,c_3,0.7335,0.7908434458,model_1762
episode_92,c_7,c_2,c_10,c_12,0.7583,0.7303047463,model_1868
episode_93,c_7,c_12,s,-,0.7081,0.8526553727,model_391
episode_93,c_7,c_12,s,-,0.7261,0.8198903063,model_1567
episode_94,c_8,c_11,c_12,c_8,0.7666,0.7129476029,model_1872
episode_95,c_7,m_1,c_4,c_1,0.7028,0.8705081628,model_605
episode_96,c_7,c_9,c_11,c_6,0.7354,0.7738984372,model_489
episode_97,c_3,c_5,s,-,0.7028,0.8758703238,model_1704
episode_98,c_6,m_1,s,-,0.711,0.8612067211,model_1398
episode_99,c_1,c_5,c_8,c_2,0.7282,0.8328195712,model_776
episode_100,c_7,m_1,c_9,c_10,0.7483,0.761277498,model_406
episode_101,c_5,c_3,c_6,c_9,0.7147,0.8642854575,model_5
episode_102,c_8,c_11,m_2,c_1,0.7393,0.7671522031,model_299
episode_103,c_11,c_1,m_3,m_1,0.7262,0.8111765959,model_569
episode_104,c_5,c_8,c_12,m_3,0.7169,0.82753003,model_579
episode_105,c_6,m_3,c_9,c_11,0.7832,0.6501892401,model_270
episode_106,c_11,c_6,c_8,m_2,0.7314,0.7863259398,model_1131
episode_107,c_9,c_10,s,-,0.7011,0.8853812638,model_288
episode_108,c_8,c_10,c_4,c_11,0.7327,0.8007753844,model_26
episode_109,c_7,c_5,c_4,c_10,0.7288,0.8193512447,model_474
episode_110,c_11,c_5,c_7,m_2,0.7345,0.7882099216,model_1621
episode_111,c_4,c_5,m_3,c_2,0.7104,0.8354599511,model_821
